id	cases	file_name	md5sum	file_id	file_size
4f54add3-c33d-4bc9-9e1f-c75f52d15f1e	[{'case_id': '4aa68586-6331-4795-b40c-859386640df6'}]	2e4316d2-5fe5-4ee1-9b22-73f4c42b6202.rna_seq.augmented_star_gene_counts.tsv	49fe7f3c7f7fc86f310fe9cb0bcc7ab4	4f54add3-c33d-4bc9-9e1f-c75f52d15f1e	4255418
fc0e74d2-ab94-48b1-8e31-808bde7a3fe6	[{'case_id': '5d688049-f271-40ef-813a-d37240ffe21c'}]	3f3b6a7b-94f0-40a3-9f16-32bab2854678.rna_seq.augmented_star_gene_counts.tsv	1d0ef8c40c7c9cd1083b793164302f64	fc0e74d2-ab94-48b1-8e31-808bde7a3fe6	4254316
7ff8696e-3809-4b96-9259-be654631d952	[{'case_id': 'd7195183-9fe4-4b17-bcfd-9367d2e539ce'}]	db01aba1-3a00-4bf9-9f24-8fba144144f3.rna_seq.augmented_star_gene_counts.tsv	1aa5c4f02df1ba2a160bd1c705f8658c	7ff8696e-3809-4b96-9259-be654631d952	4229193
73edea85-f978-4c99-b9c3-fda3ffc6a065	[{'case_id': '298a1710-deb4-4064-a0f2-da32d43aa217'}]	f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f.rna_seq.augmented_star_gene_counts.tsv	d0b44db8b3ceea8f9f5b9634a670fba4	73edea85-f978-4c99-b9c3-fda3ffc6a065	4249680
c00ad8a9-ed1d-4289-aa62-3e64cb574205	[{'case_id': 'd5cab7f5-e4f1-40ee-a0c8-4c8004c1c9a0'}]	b47b2efb-02e1-4729-95ad-de05fb551bc7.rna_seq.augmented_star_gene_counts.tsv	79772279474d170b900d28161aa9f2e3	c00ad8a9-ed1d-4289-aa62-3e64cb574205	4244649
d657ed9a-fd92-493c-ae10-120c8b0c58d7	[{'case_id': 'e663954c-05a8-479a-a623-400c1eb5efc6'}]	57730033-1db5-4e48-81ff-b6ee4f3c0ab4.rna_seq.augmented_star_gene_counts.tsv	11fda1ebc529d737ac2c40565ede2ef5	d657ed9a-fd92-493c-ae10-120c8b0c58d7	4243530
d5586fdb-d796-4176-84e3-11a72124b41f	[{'case_id': 'c7d7a770-23c0-4310-ab48-1f6152dc2849'}]	f7efa9c4-e7e2-406a-98e5-596f787c810e.rna_seq.augmented_star_gene_counts.tsv	7d7ad27622e8e37390cbcc0da56358be	d5586fdb-d796-4176-84e3-11a72124b41f	4247040
e4f49b9c-faed-4f15-a79c-79664e2c03b6	[{'case_id': 'ecab16bc-28d5-4c3a-8735-3c785bd047c4'}]	61a614bb-2249-4611-8aac-1a8e53d4467b.rna_seq.augmented_star_gene_counts.tsv	614f4f9f5f3d9e908e4621cc254868d6	e4f49b9c-faed-4f15-a79c-79664e2c03b6	4243854
81801e72-d293-42e0-8871-5468e33b6d89	[{'case_id': 'fa4e082a-d213-412e-8d91-842a6f4bef12'}]	08ccd8d6-3e9d-4ece-a421-98acaf272569.rna_seq.augmented_star_gene_counts.tsv	67ff15d32b6b4b56915dea3526725e58	81801e72-d293-42e0-8871-5468e33b6d89	4236872
56be281f-e85c-4dcb-9d75-cd9ae3430bbe	[{'case_id': '02f5ae33-a563-4ecb-9e33-dfa500a44931'}]	92e7a9c0-ea88-419e-9afa-e7db5c8967b5.rna_seq.augmented_star_gene_counts.tsv	8ae1976ee5dfa4ecac3bbefa41ef8f32	56be281f-e85c-4dcb-9d75-cd9ae3430bbe	4243549
50721c97-1a23-405b-b7b3-2955e4c62e5a	[{'case_id': 'a8b1f6e7-2bcf-460d-b1c6-1792a9801119'}]	00063026-2a67-41de-b105-f80dca277978.rna_seq.augmented_star_gene_counts.tsv	3fb7a3e813e43c3d1dfaecd082130385	50721c97-1a23-405b-b7b3-2955e4c62e5a	4234333
0e62a6d0-87a7-4efc-922f-753328694458	[{'case_id': '8a0ef221-8070-43fc-9d98-def90abe4871'}]	c5d4a1ed-8fd3-4435-96f5-ea5e56326f20.rna_seq.augmented_star_gene_counts.tsv	03dea9d6f5b93d78ef10ed8b91cb02ee	0e62a6d0-87a7-4efc-922f-753328694458	4271877
be65c37e-7aa8-466d-a1fe-102e8e25e2e9	[{'case_id': 'e8f3cc64-5e15-4f4d-b73e-5c9b250a664c'}]	35120b68-e618-46a1-9641-1e635f633372.rna_seq.augmented_star_gene_counts.tsv	2f90516d4092de6dd0ca87891b55a630	be65c37e-7aa8-466d-a1fe-102e8e25e2e9	4251794
f2a4b38d-bfc0-4363-9a58-b5fa2af26ff3	[{'case_id': 'a482fc4c-ff1d-46a0-a968-7df06422cc4b'}]	4665ff5e-adb6-4b88-8a42-cb25c4fda0a0.rna_seq.augmented_star_gene_counts.tsv	753ef81b3c1c598ba010e7d1ef89d13e	f2a4b38d-bfc0-4363-9a58-b5fa2af26ff3	4248071
71ea0cc0-d979-4efd-a670-1e8e8a329aca	[{'case_id': 'a381275f-8858-4793-a8a2-0ca9db7274c8'}]	0394cdb2-85e8-4cea-b572-4cb4ed779774.rna_seq.augmented_star_gene_counts.tsv	d443efb846b5ff9e8c5543b03b34a9ab	71ea0cc0-d979-4efd-a670-1e8e8a329aca	4261808
222b562a-3ef7-4e69-a60d-54aac5104102	[{'case_id': 'a9bb8159-32f0-454c-a946-b3286a52b9d5'}]	e0527b4b-de23-4b9f-8871-13f64f6976cd.rna_seq.augmented_star_gene_counts.tsv	d4c737d27e18342109001a0e7981dcfe	222b562a-3ef7-4e69-a60d-54aac5104102	4244140
3ce988e2-61c5-4f53-b9c8-cfc280649c1f	[{'case_id': 'ee554215-bea2-4268-aaf9-784e68cdb969'}]	8d2f240f-43c3-4e0d-a6cc-79f6b174dace.rna_seq.augmented_star_gene_counts.tsv	baeed408238645d8c71ef319050fd06d	3ce988e2-61c5-4f53-b9c8-cfc280649c1f	4246409
0d11c50a-8648-48ea-a107-e138a1d3e086	[{'case_id': 'ee554215-bea2-4268-aaf9-784e68cdb969'}]	bf3ea4a0-bcd6-4e9d-acbb-3416f6ce53b7.rna_seq.augmented_star_gene_counts.tsv	9e98790b2c61a368f8dc97f0d55baf6f	0d11c50a-8648-48ea-a107-e138a1d3e086	4233362
2e6baa15-85d7-43b0-8a89-a0dc169ae16a	[{'case_id': 'e37ae674-a107-4eb3-94d8-b86b0035a9f7'}]	c62cda08-6134-47c6-8796-9da0788d9717.rna_seq.augmented_star_gene_counts.tsv	f6fdd6a7af35613392829a945a4af1a2	2e6baa15-85d7-43b0-8a89-a0dc169ae16a	4259705
